Security,USURTOT  Index                                                  ,,US Unemployment Rate in Labor Force Seasonally Adjusted
Start Date,1/31/2005 0:00,,Bureau of Labor Statistics
End Date,9/30/2020 0:00,,
Period,M,,
,,,
Date,PX_LAST,FIRST_REVISION,
9/30/2007,4.7,#N/A N/A,
8/31/2007,4.6,#N/A N/A,
7/31/2007,4.7,#N/A N/A,
6/30/2007,4.6,#N/A N/A,
5/31/2007,4.4,#N/A N/A,
4/30/2007,4.5,#N/A N/A,
3/31/2007,4.4,#N/A N/A,
2/28/2007,4.5,#N/A N/A,
1/31/2007,4.6,#N/A N/A,
12/31/2006,4.4,#N/A N/A,
11/30/2006,4.5,#N/A N/A,
10/31/2006,4.4,#N/A N/A,
9/30/2006,4.5,#N/A N/A,
8/31/2006,4.7,#N/A N/A,
7/31/2006,4.7,#N/A N/A,
6/30/2006,4.6,#N/A N/A,
5/31/2006,4.6,#N/A N/A,
4/30/2006,4.7,#N/A N/A,
3/31/2006,4.7,#N/A N/A,
2/28/2006,4.8,#N/A N/A,
1/31/2006,4.7,#N/A N/A,
12/31/2005,4.9,#N/A N/A,
11/30/2005,5,#N/A N/A,
10/31/2005,5,#N/A N/A,
9/30/2005,5,5.1,
8/31/2005,4.9,#N/A N/A,
7/31/2005,5,#N/A N/A,
6/30/2005,5,#N/A N/A,
5/31/2005,5.1,#N/A N/A,
4/30/2005,5.2,#N/A N/A,
3/31/2005,5.2,#N/A N/A,
2/28/2005,5.4,5.4,
1/31/2005,5.3,#N/A N/A,
